id,kode,nama,status
1,"001","BIO SOLAR",1
2,"002","BIO PREMIUM",1
3,"003","BIO PERTAMAX",1
4,"004","SOLAR",1
5,"005","PREMIUM",1
6,"006","PERTALITE",1
7,"007","PERTAMAX",1
8,"008","PERTAMAX PLUS",1
9,"009","PERTAMAX RACING",1
10,"010","PERTAMINA DEX",1
11,"011","BBG",1
