id,kode,nama,status
1,"1","PKB/BBNKB e-SAMSAT",1
2,"2","PKB/BBNKB KD BAYAR DARI NPPKB",1
3,"3","PAJAK AIR PERMUKAAN",1
4,"4","PBBKB",1
5,"5","PAJAK ROKOK",1
6,"6","RETRIBUSI DAERAH",1
7,"7","RPKD",1
8,"8","LAIN - LAIN PAD YANG SAH",1
9,"9","DANA PERIMBANGAN",1
10,"0","LAIN - LAIN PENDAPATAN YANG SAH",1
